generation,entropy
0,96.14755511029483
1,96.57661500262601
2,95.75470570372079
3,94.57366567601078
4,94.21695718693076
5,93.34717501183508
6,92.71007117736059
7,92.33972968545237
8,89.52133573446903
9,88.51601860216314
10,87.41360279358923
11,87.13714073183498
12,85.19976725021861
13,82.77391157304886
14,81.5967481721768
15,81.48215464844866
16,79.08781130106331
17,78.30022822465126
18,76.17231305274139
19,73.67629739396534
20,70.81835075738836
21,67.91830157640176
22,64.22008858278974
23,61.043541235995626
24,58.213460216733026
25,57.44469284991058
26,57.452623761736376
27,59.18489547336997
28,60.477614231503296
29,60.62670520233971
30,60.40974223849722
31,58.082140730731766
32,56.84583559503073
33,58.39975666608395
34,59.01472106652445
35,60.45081464282591
36,60.416610739967474
37,61.52198481008585
38,62.495468864618026
39,64.04764838024678
40,65.08290342508089
41,64.74627357903931
42,65.27732472606193
43,65.42394540061848
44,64.28969943779317
45,64.69326371799056
46,64.46105787969294
47,64.43828572905045
48,64.06980233034278
49,63.440914312953346
