generation,min_fitness,mean_fitness,max_fitness,entropy
0,0.1476245163533031,0.15202647239625497,0.16142668190507709,96.7606840522092
1,0.1476245163533031,0.15105992828309195,0.1577330352775645,95.69501292279269
2,0.1476245163533031,0.15073064353970217,0.15849671230436033,93.78762864011573
3,0.14707159876189052,0.14970091617211564,0.15571209284781665,87.76816454321074
4,0.1469955436851952,0.1489771158642762,0.1533833478174087,80.69865198197648
5,0.14591020626436366,0.14836391663137338,0.1523034453373821,68.57481107066862
6,0.14591020626436366,0.1478937645841625,0.15079939555610153,60.03437092812455
7,0.14555364563627615,0.1474058672227916,0.14981515504805576,56.28341978146153
8,0.1454304049923083,0.14720447412097884,0.14980662557339175,53.10297255879833
9,0.1448498981292039,0.1468135082651503,0.1492265291485054,44.75800402071602
10,0.1448498981292039,0.14650009365123387,0.14905352318295942,46.347892875095745
11,0.14344777222814278,0.1463357279904101,0.1479075406645737,47.14155875849919
12,0.14344777222814278,0.14588569595864512,0.14890945578835088,45.42027259299494
13,0.14344777222814278,0.14544254733557313,0.14890945578835088,42.218744757951825
14,0.14344777222814278,0.1450205132639235,0.14795148294774457,39.19226400711276
15,0.14343196473237396,0.14459260241977553,0.14624629278981985,34.578814722682814
16,0.1431504850295005,0.14404822968681544,0.14592639306734703,26.896078355043176
17,0.1431504850295005,0.1437842312902639,0.1456053892463089,18.7092780781333
18,0.1431504850295005,0.14358348185223133,0.14513567483822312,12.491003890189605
19,0.1431504850295005,0.14347844788991426,0.14484899333830123,5.978285937884943
20,0.1431504850295005,0.14345536547207383,0.14443394238138577,6.455985028675248
21,0.1431504850295005,0.14342216888987702,0.1442227931316773,5.663452127412172
22,0.1431356741101317,0.1433658358961933,0.14424763870235072,6.584217904320899
23,0.14306033911586535,0.14332063900398972,0.14389859302318309,7.087805862280998
24,0.14293204495973177,0.14322529568807915,0.14417072372139053,7.0182777677631405
25,0.14293204495973177,0.14318788585406372,0.14386450664806,6.621099796038306
26,0.1427756068744906,0.14316264336127793,0.1435578880154664,6.860589884271521
27,0.1427756068744906,0.14312464400319108,0.1442373621341748,5.669154367101389
28,0.1427756068744906,0.14308315567441685,0.14318421441664533,6.9028632862864665
29,0.1426956238411715,0.14302703472322126,0.1442424003595329,6.383866350752069
30,0.1426956238411715,0.14300699363369393,0.14427312654064908,6.769428728857859
31,0.1425499182780222,0.14295938847019724,0.1443887023976421,7.2478517950192
32,0.1425499182780222,0.14297350332545736,0.14385917842152754,6.1983932229279635
33,0.1425499182780222,0.14290159237148536,0.14356064089915305,6.320038767388856
34,0.1425499182780222,0.14284559101335378,0.14411717653379333,6.13695207350805
35,0.14250603816854152,0.14281788991400352,0.1435724284787667,5.796756755888586
36,0.1420815413017424,0.1427660990457524,0.14357864256661698,4.969189974956619
37,0.1420815413017424,0.1427178978952532,0.1437290398894619,5.45205419853432
38,0.1420815413017424,0.14269302659506117,0.144110747325803,5.579254174571351
39,0.1420815413017424,0.142642427960957,0.1435761440616046,5.724647730352488
40,0.1420815413017424,0.14255105708723081,0.14308432711557084,5.516673123832819
41,0.1419656499781247,0.14238646050077655,0.14304996129381944,5.49277361814379
42,0.1419656499781247,0.14225734281152488,0.1426966394840939,5.369949518883689
43,0.1419656499781247,0.14211046552036904,0.14285868753661393,2.5673716312914294
44,0.1419656499781247,0.14207190242213052,0.14247544428902187,1.511082462099753
45,0.14186440413026946,0.14204683241776261,0.14228305749454143,1.7205829361214204
46,0.14183855434615014,0.14202349089349398,0.14246347114339625,2.2014809088247236
47,0.14183855434615014,0.14201559611973608,0.14281726249284935,2.9747252247531897
48,0.14178668117242835,0.14199414071157765,0.14296121820896882,3.4155549707152706
49,0.1417816331622162,0.14195128652482084,0.14215166038860655,4.2466465197871806
