generation,entropy
0,96.27950360140905
1,94.6926320766544
2,94.14239803206955
3,93.96633318026122
4,92.54512987796889
5,90.3830392230154
6,89.57165522891259
7,87.19358412572888
8,84.73399272220614
9,83.53269207786197
10,80.66512755420605
11,76.8892829311679
12,74.66214154827568
13,72.55140506656792
14,66.91043809071174
15,64.08436566422445
16,61.73407719302374
17,57.62456027716809
18,57.01244997738135
19,55.43154930349466
20,52.17221837762225
21,49.1555725158025
22,48.16304431306314
23,44.74895013450714
24,40.98269229583458
25,42.96195228250371
26,42.271409236074255
27,39.00169995900175
28,38.42405176732788
29,38.575033486463
30,37.63174258503339
31,37.20499977818694
32,37.97900886934646
33,36.60938018129546
34,37.16762185978898
35,37.45302541055201
36,35.83181493487811
37,37.00028586517258
38,36.46334236559053
39,35.37424020271987
40,35.07720726550837
41,35.69498014227255
42,34.58141525165419
43,31.002733063754714
44,32.07393516968669
45,33.84432671414262
46,34.04118894209751
47,33.31033815194438
48,33.009226209376585
49,32.49002444988686
