generation,min_fitness,mean_fitness,max_fitness,entropy
0,0.14634975876554213,0.15264253800806687,0.16699198772103388,98.05885700963427
1,0.1461018552604133,0.15201970014105864,0.16746682493704926,98.36555298002975
2,0.14505199055328227,0.15155104831538466,0.1626056474378253,98.52267747101216
3,0.14549361994993207,0.15116881540045413,0.16203171391758225,98.4930713330504
4,0.1456532673309629,0.1507328610319148,0.16404484683859413,98.26511302390651
5,0.14543571609688533,0.15052460613612625,0.1694456180152181,98.27442369004642
6,0.14528964608793093,0.15038156514791165,0.16529238348116487,98.26688980537273
7,0.145330240045678,0.15004510012730374,0.16259937946391065,98.2045716939449
8,0.1449119358753896,0.1498222826876324,0.16183580667454145,98.11813853288271
9,0.14407788749208641,0.14956893424479234,0.16211662320311526,97.88135861654642
10,0.1437032406173083,0.14938769475432484,0.16018552639296554,97.80882205236307
11,0.1444367346462839,0.1492091645473294,0.1559962035010468,97.59872253250965
12,0.14420071898215986,0.14884944187815696,0.15630521782644483,97.30317011831586
13,0.1438128013938929,0.148725942009875,0.1577489164521822,97.22844815610704
14,0.1433919808618782,0.14835551755232898,0.15424299508690836,96.79415434477347
15,0.14374338036503465,0.14799288518158865,0.15392229541411426,96.33504285306513
16,0.14268505248886804,0.14766427801712464,0.15581298850082095,95.75585357444649
17,0.14279378203267895,0.1475003202975317,0.1551281398034081,95.42477112765542
18,0.14255761531998046,0.14732566737775418,0.15184165542616848,95.05679779915171
19,0.14255761531998046,0.146979705307879,0.1574278151524028,94.29653506524009
20,0.14225251928787352,0.14696361544304895,0.15301311884778482,94.17021474952168
21,0.1424168645369976,0.14674069098360742,0.15502918913786132,93.4814508355756
22,0.1424168645369976,0.14660657833678692,0.15581673403779875,93.1123309840258
23,0.14257382426206017,0.14650027911696503,0.15487161819490808,93.00122752094799
24,0.1418376142003772,0.14642716363932615,0.1524562771471813,92.82192585380199
25,0.1422047759360882,0.14630728449459948,0.1543376160259757,92.31654770634138
26,0.14216797640734632,0.14615943546725496,0.15126391808676706,91.96831713272812
27,0.1421533541508988,0.1459561946491829,0.15207807966772333,91.46697667291154
28,0.14188318839552874,0.14577490473773472,0.15309031806349363,91.0838959152081
29,0.1418261481928595,0.14564121950352496,0.1521480884357238,90.65998328807132
30,0.14196518534126776,0.1454770831710137,0.1524016953796732,90.23460774957789
31,0.14163270115019128,0.14532266333375812,0.15255417947917785,89.89950804856063
32,0.1411720815134255,0.14529256941443128,0.1521126437809143,89.51261222634815
33,0.14136145641924558,0.1451129539002959,0.14928276533948756,88.91447987305263
34,0.14110887168633682,0.14489147775477712,0.15123821199889284,87.96038540478024
35,0.14097209388653606,0.14476624687209172,0.14946866591856753,87.71075585599895
36,0.1410893952447358,0.14462613661712992,0.15033758049664167,87.3398886808894
37,0.1407393224499115,0.1444808126990671,0.1486631199682437,86.73383012480396
38,0.1407418368723655,0.14426673691106104,0.14889135033907389,85.8212162370246
39,0.1401213207089894,0.1441737878245321,0.1498313354331306,85.44919981556365
40,0.14074099959042835,0.14407492673960512,0.15239213457505701,84.96103969548047
41,0.14073618327391926,0.14405498275828024,0.155103686074038,84.75259655341031
42,0.1407288038466512,0.14412091449427328,0.15166740667362608,84.88851607530368
43,0.1410007043777448,0.1440769026348619,0.1506580414501319,84.59906003616908
44,0.14024837413193314,0.14396410672766313,0.14891569656195405,84.0371230313901
45,0.14011824186141583,0.14380489473737115,0.1515009064637478,83.19837957034278
46,0.14052599999026033,0.14383706016277115,0.14795262393476696,83.16612914639941
47,0.13976875887861384,0.14368195453876806,0.14834687716501427,82.68453477486426
48,0.1398292176667595,0.14353219343070014,0.1513306319540351,82.09984181868207
49,0.14015828749451806,0.14360873640833927,0.15249293634834207,82.44528030634515
