generation,entropy
0,97.03835903496494
1,96.08903169220685
2,93.5597703645104
3,88.1364094683094
4,83.91324116995807
5,84.36720354241713
6,83.88212744091497
7,82.42347024131936
8,78.74848122284746
9,70.84742021183509
10,57.898960622959294
11,53.15113871621629
12,48.251405119874896
13,45.81437840605633
14,45.93464126501678
15,46.13235994421077
16,45.80200521608701
17,46.069886502170995
18,45.5514355406331
19,41.95059941079913
20,37.21704622457525
21,35.82022290184282
22,30.4938007491764
23,32.08368220563606
24,27.59963326320736
25,24.347714822947196
26,24.453352631068448
27,25.965762197001208
28,26.185915005530052
29,25.211810605535508
30,24.188668663701552
31,23.49641887055279
32,22.79548415694512
33,25.32979345026631
34,25.146550679801752
35,24.14596123512032
36,25.236013682592517
37,25.958921984855365
38,27.333411191613173
39,28.067595330375994
40,29.128451153950973
41,28.455070998305136
42,27.541845168398204
43,27.130041020106976
44,25.985285855384074
45,21.476881300202525
46,19.21419230534111
47,17.960566280356936
48,20.593169756014163
49,21.0882436650777
